name,product,ISIC rev.4 ecoinvent,CPC
"carbon dioxide, captured and stored, with a solvent-based direct air capture system, 1MtCO2","carbon dioxide, captured",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured and stored, with a solvent-based direct air capture system, 1MtCO2, with heat pump heat, and grid electricity","carbon dioxide, captured",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured and stored, with a solvent-based direct air capture system, 1MtCO2, with industrial steam heat, and grid electricity","carbon dioxide, captured",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured and stored, with a sorbent-based direct air capture system, 100ktCO2","carbon dioxide, captured",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured and stored, with a sorbent-based direct air capture system, 100ktCO2, with heat pump heat, and grid electricity","carbon dioxide, captured",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured and stored, with a sorbent-based direct air capture system, 100ktCO2, with industrial steam heat, and grid electricity","carbon dioxide, captured",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured and stored, with a sorbent-based direct air capture system, 100ktCO2, with waste heat, and grid electricity","carbon dioxide, captured",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured at cement production plant, for subsequent reuse","carbon dioxide, captured and reused",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured at cement production plant, integrated in fuel production chain","carbon dioxide, captured and reused",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured at cement production plant, with underground storage, post, 200 km","carbon dioxide, captured and stored",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured at hydrogen production plant, pre, pipeline 200km, storage 1000m","carbon dioxide, captured at hydrogen production plant, pre, pipeline 200km, storage 1000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured at hydrogen production plant, pre, pipeline 400km, storage 3000m","carbon dioxide, captured at hydrogen production plant, pre, pipeline 400km, storage 3000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured at pig iron production plant, using monoethanolamine","carbon dioxide, captured",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured at steel production plant using direct reduction iron, using vacuum pressure swing adsorption","carbon dioxide, captured",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured at steel production plant, using vacuum pressure swing adsorption","carbon dioxide, captured",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured at synthetic natural gas plant, post, 200km pipeline, storage 1000m","carbon dioxide, captured at synthetic natural gas plant, post, 200km pipeline, storage 1000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m","carbon dioxide, captured at wood burning power plant 20 MW post, pipeline 200km, storage 1000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured from hard coal-fired power plant, oxy, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, oxy, pipeline 200km, storage 1000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 200km, storage 1000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured from hard coal-fired power plant, post, pipeline 400km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, post, pipeline 400km, storage 1000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured from hard coal-fired power plant, pre, pipeline 200km, storage 1000m","carbon dioxide, captured from hard coal-fired power plant, pre, pipeline 200km, storage 1000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured from lignite, oxy, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, oxy, pipeline 200km, storage 1000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, post, pipeline 200km, storage 1000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured from lignite, pre, pipeline 200km, storage 1000m","carbon dioxide, captured from lignite, pre, pipeline 200km, storage 1000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 200km pipeline, storage 1000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured from natural gas, post, 400km pipeline, storage 1000m","carbon dioxide, captured from natural gas, post, 400km pipeline, storage 1000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured from natural gas, pre, 200km pipeline, storage 1000m","carbon dioxide, captured from natural gas, pre, 200km pipeline, storage 1000m",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured, at cement production plant, for subsequent reuse","carbon dioxide, captured",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured, at cement production plant, using direct separation","carbon dioxide, captured",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured, at cement production plant, using monoethanolamine","carbon dioxide, captured",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured, at cement production plant, using oxyfuel","carbon dioxide, captured",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured, at municipal solid waste incineration plant, for subsequent reuse","carbon dioxide, captured",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured, with a solvent-based direct air capture system, 1MtCO2","carbon dioxide, captured",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured, with a solvent-based direct air capture system, 1MtCO2, with heat pump heat, and grid electricity","carbon dioxide, captured",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured, with a solvent-based direct air capture system, 1MtCO2, with industrial steam heat, and grid electricity","carbon dioxide, captured",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured, with a sorbent-based direct air capture system, 100ktCO2","carbon dioxide, captured",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured, with a sorbent-based direct air capture system, 100ktCO2, with heat pump heat, and grid electricity","carbon dioxide, captured",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
"carbon dioxide, captured, with a sorbent-based direct air capture system, 100ktCO2, with industrial steam heat, and grid electricity","carbon dioxide, captured",2011:Manufacture of basic chemicals,"34210: Hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen compounds of non-metals n.e.c."
